text,terms
"Judging from previous posts this used to be a good place, but not any longer.","[('place', '56', '51', 'RESTAURANT#GENERAL', 'negative')]"
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","[('staff', '80', '75', 'SERVICE#GENERAL', 'negative')]"
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","[('NULL', '0', '0', 'SERVICE#GENERAL', 'negative')]"
The food was lousy - too sweet or too salty and the portions tiny.,"[('food', '8', '4', 'FOOD#QUALITY', 'negative'), ('portions', '60', '52', 'FOOD#STYLE_OPTIONS', 'negative')]"
"After all that, they complained to me about the small tip.","[('NULL', '0', '0', 'SERVICE#GENERAL', 'negative')]"
Avoid this place!,"[('place', '16', '11', 'RESTAURANT#GENERAL', 'negative')]"
"I have eaten at Saul, many times, the food is always consistently, outrageously good.","[('food', '42', '38', 'FOOD#QUALITY', 'positive')]"
Saul is the best restaurant on Smith Street and in Brooklyn.,"[('Saul', '4', '0', 'RESTAURANT#GENERAL', 'positive')]"
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"[('foie gras terrine with figs', '69', '42', 'FOOD#QUALITY', 'positive'), ('duck confit', '15', '4', 'FOOD#QUALITY', 'positive')]"
The wine list is interesting and has many good values.,"[('wine list', '13', '4', 'DRINKS#STYLE_OPTIONS', 'positive'), ('wine list', '13', '4', 'DRINKS#PRICES', 'positive')]"
"For the price, you cannot eat this well in Manhattan.","[('NULL', '0', '0', 'RESTAURANT#PRICES', 'positive'), ('NULL', '0', '0', 'FOOD#QUALITY', 'positive')]"
I was very disappointed with this restaurant.,"[('restaurant', '44', '34', 'RESTAURANT#GENERAL', 'negative')]"
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,"[('cart attendant', '26', '12', 'SERVICE#GENERAL', 'negative')]"
I had to ask her three times before she finally came back with the dish Ive requested.,"[('NULL', '0', '0', 'SERVICE#GENERAL', 'negative')]"
"Food was okay, nothing great.","[('Food', '4', '0', 'FOOD#QUALITY', 'neutral')]"
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"[('Chow fun', '8', '0', 'FOOD#QUALITY', 'negative'), ('pork shu mai', '30', '18', 'FOOD#QUALITY', 'negative'), ('NULL', '0', '0', 'RESTAURANT#MISCELLANEOUS', 'negative')]"
I/we will never go back to this place again.,"[('place', '37', '32', 'RESTAURANT#GENERAL', 'negative')]"
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","[('Fish', '39', '35', 'RESTAURANT#GENERAL', 'positive')]"
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","[('Service', '7', '0', 'SERVICE#GENERAL', 'positive'), ('oysters', '27', '20', 'FOOD#QUALITY', 'positive'), ('NULL', '0', '0', 'RESTAURANT#PRICES', 'positive')]"
You can't go wrong here.,"[('NULL', '0', '0', 'RESTAURANT#GENERAL', 'positive')]"
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,"[('Restaurant Saul', '65', '50', 'RESTAURANT#GENERAL', 'positive')]"
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","[('NULL', '0', '0', 'FOOD#QUALITY', 'positive'), ('service', '54', '47', 'SERVICE#GENERAL', 'positive'), ('decor', '78', '73', 'AMBIENCE#GENERAL', 'positive')]"
I had the duck breast special on my last visit and it was incredible.,"[('duck breast special', '29', '10', 'FOOD#QUALITY', 'positive')]"
